Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
$M_i\geq-26.0, 3.0<z \leq4.6$
Pixels masked by MC but not already by selfunc: 307
G20.5_zmin3.0zmax4.6_Lmax-26.0: 0.23              28043 vs 36458
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  3.05it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -2743.165 <    inf | logz: -2750.075 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:00,  3.05it/s, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -2739.306 <    inf | logz: -2746.177 +/-  0.116 | dlogz: 2765.140 >  0.010]
3it [00:00,  3.05it/s, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -2306.963 <    inf | logz: -2313.877 +/-  0.118 | dlogz: 2761.240 >  0.010]
4it [00:01,  3.05it/s, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -2180.018 <    inf | logz: -2186.934 +/-  0.118 | dlogz: 2328.938 >  0.010]
5it [00:01,  3.05it/s, bound: 0 | nc: 1 | ncall: 505 | eff(%):  0.990 | loglstar:   -inf < -1986.711 <    inf | logz: -1993.629 +/-  0.118 | dlogz: 2201.993 >  0.010]
6it [00:01,  3.04it/s, bound: 0 | nc: 1 | ncall: 506 | eff(%):  1.186 | loglstar:   -inf < -1817.614 <    inf | logz: -1824.534 +/-  0.118 | dlogz: 2008.686 >  0.010]
7it [00:02,  3.04it/s, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.381 | loglstar:   -inf < -1551.126 <    inf | logz: -1558.048 +/-  0.118 | dlogz: 1839.589 >  0.010]
8it [00:02,  3.04it/s, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.575 | loglstar:   -inf < -1273.427 <    inf | logz: -1280.351 +/-  0.118 | dlogz: 1573.101 >  0.010]
9it [00:02,  3.04it/s, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.768 | loglstar:   -inf < -1270.912 <    inf | logz: -1277.687 +/-  0.113 | dlogz: 1295.402 >  0.010]
10it [00:03,  3.05it/s, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.961 | loglstar:   -inf < -1021.880 <    inf | logz: -1028.807 +/-  0.118 | dlogz: 1292.736 >  0.010]
11it [00:03,  3.05it/s, bound: 0 | nc: 1 | ncall: 511 | eff(%):  2.153 | loglstar:   -inf < -957.224 <    inf | logz: -964.154 +/-  0.118 | dlogz: 1043.854 >  0.010]  
12it [00:03,  3.05it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.344 | loglstar:   -inf < -843.711 <    inf | logz: -850.642 +/-  0.118 | dlogz: 979.199 >  0.010] 
13it [00:04,  3.05it/s, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.534 | loglstar:   -inf < -479.260 <    inf | logz: -486.194 +/-  0.118 | dlogz: 865.686 >  0.010]
14it [00:04,  3.05it/s, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.724 | loglstar:   -inf < -467.941 <    inf | logz: -474.877 +/-  0.118 | dlogz: 501.235 >  0.010]
15it [00:04,  3.05it/s, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.913 | loglstar:   -inf < -433.132 <    inf | logz: -440.070 +/-  0.118 | dlogz: 489.916 >  0.010]
16it [00:05,  3.05it/s, bound: 0 | nc: 1 | ncall: 516 | eff(%):  3.101 | loglstar:   -inf < -431.385 <    inf | logz: -438.026 +/-  0.111 | dlogz: 455.107 >  0.010]
17it [00:05,  3.05it/s, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.288 | loglstar:   -inf < -389.350 <    inf | logz: -396.292 +/-  0.118 | dlogz: 453.061 >  0.010]
18it [00:05,  3.05it/s, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -363.764 <    inf | logz: -370.708 +/-  0.118 | dlogz: 411.325 >  0.010]
19it [00:06,  3.04it/s, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -359.808 <    inf | logz: -366.716 +/-  0.116 | dlogz: 385.739 >  0.010]
20it [00:06,  3.04it/s, bound: 0 | nc: 1 | ncall: 520 | eff(%):  3.846 | loglstar:   -inf < -354.856 <    inf | logz: -361.789 +/-  0.117 | dlogz: 381.745 >  0.010]
21it [00:06,  3.04it/s, bound: 0 | nc: 1 | ncall: 521 | eff(%):  4.031 | loglstar:   -inf < -348.084 <    inf | logz: -355.031 +/-  0.118 | dlogz: 376.816 >  0.010]
22it [00:07,  3.03it/s, bound: 0 | nc: 1 | ncall: 522 | eff(%):  4.215 | loglstar:   -inf < -344.026 <    inf | logz: -350.944 +/-  0.116 | dlogz: 370.056 >  0.010]
23it [00:07,  3.03it/s, bound: 0 | nc: 1 | ncall: 523 | eff(%):  4.398 | loglstar:   -inf < -329.719 <    inf | logz: -336.673 +/-  0.118 | dlogz: 365.967 >  0.010]
24it [00:07,  3.03it/s, bound: 0 | nc: 1 | ncall: 524 | eff(%):  4.580 | loglstar:   -inf < -324.428 <    inf | logz: -331.373 +/-  0.117 | dlogz: 351.694 >  0.010]
25it [00:08,  3.03it/s, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.762 | loglstar:   -inf < -322.568 <    inf | logz: -329.253 +/-  0.112 | dlogz: 346.392 >  0.010]
26it [00:08,  2.33it/s, bound: 0 | nc: 2 | ncall: 527 | eff(%):  4.934 | loglstar:   -inf < -319.517 <    inf | logz: -326.373 +/-  0.114 | dlogz: 344.270 >  0.010]
27it [00:09,  2.50it/s, bound: 0 | nc: 1 | ncall: 528 | eff(%):  5.114 | loglstar:   -inf < -317.280 <    inf | logz: -324.038 +/-  0.112 | dlogz: 341.388 >  0.010]
28it [00:09,  2.64it/s, bound: 0 | nc: 1 | ncall: 529 | eff(%):  5.293 | loglstar:   -inf < -301.928 <    inf | logz: -308.892 +/-  0.118 | dlogz: 339.051 >  0.010]
29it [00:10,  2.16it/s, bound: 0 | nc: 2 | ncall: 531 | eff(%):  5.461 | loglstar:   -inf < -301.777 <    inf | logz: -307.742 +/-  0.108 | dlogz: 323.903 >  0.010]
30it [00:10,  2.37it/s, bound: 0 | nc: 1 | ncall: 532 | eff(%):  5.639 | loglstar:   -inf < -294.979 <    inf | logz: -301.942 +/-  0.118 | dlogz: 322.751 >  0.010]
31it [00:10,  2.53it/s, bound: 0 | nc: 1 | ncall: 533 | eff(%):  5.816 | loglstar:   -inf < -292.412 <    inf | logz: -299.238 +/-  0.114 | dlogz: 316.949 >  0.010]
32it [00:11,  2.67it/s, bound: 0 | nc: 1 | ncall: 534 | eff(%):  5.993 | loglstar:   -inf < -283.386 <    inf | logz: -290.357 +/-  0.118 | dlogz: 314.243 >  0.010]
33it [00:11,  2.77it/s, bound: 0 | nc: 1 | ncall: 535 | eff(%):  6.168 | loglstar:   -inf < -282.194 <    inf | logz: -288.693 +/-  0.110 | dlogz: 305.360 >  0.010]
34it [00:11,  2.85it/s, bound: 0 | nc: 1 | ncall: 536 | eff(%):  6.343 | loglstar:   -inf < -280.044 <    inf | logz: -286.754 +/-  0.111 | dlogz: 303.694 >  0.010]
35it [00:12,  2.90it/s, bound: 0 | nc: 1 | ncall: 537 | eff(%):  6.518 | loglstar:   -inf < -277.261 <    inf | logz: -284.105 +/-  0.114 | dlogz: 301.754 >  0.010]
36it [00:12,  2.95it/s, bound: 0 | nc: 1 | ncall: 538 | eff(%):  6.691 | loglstar:   -inf < -277.091 <    inf | logz: -283.037 +/-  0.107 | dlogz: 299.102 >  0.010]
37it [00:12,  2.98it/s, bound: 0 | nc: 1 | ncall: 539 | eff(%):  6.865 | loglstar:   -inf < -269.444 <    inf | logz: -276.424 +/-  0.118 | dlogz: 298.033 >  0.010]
