Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
$M_i\geq-27.0, 3.0<z \leq4.6$
Pixels masked by MC but not already by selfunc: 259
G20.5_zmin3.0zmax4.6_Lmax-27.0: 0.26              21433 vs 28981
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:125: RuntimeWarning: divide by zero encountered in divide
  return fduty/2*special.erfc(np.log(10**M_min/bins)/(np.sqrt(2)*np.log(10)*sigma))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  2.85it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -12416.459 <    inf | logz: -12423.369 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:00,  2.85it/s, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -12182.350 <    inf | logz: -12189.262 +/-  0.118 | dlogz: 12441.501 >  0.010]
3it [00:01,  2.85it/s, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -11826.137 <    inf | logz: -11833.051 +/-  0.118 | dlogz: 12207.392 >  0.010]
4it [00:01,  2.85it/s, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -11536.669 <    inf | logz: -11543.585 +/-  0.118 | dlogz: 11851.179 >  0.010]
5it [00:01,  2.85it/s, bound: 0 | nc: 1 | ncall: 505 | eff(%):  0.990 | loglstar:   -inf < -11371.262 <    inf | logz: -11378.180 +/-  0.118 | dlogz: 11561.711 >  0.010]
6it [00:02,  2.85it/s, bound: 0 | nc: 1 | ncall: 506 | eff(%):  1.186 | loglstar:   -inf < -10977.026 <    inf | logz: -10983.946 +/-  0.118 | dlogz: 11396.305 >  0.010]
7it [00:02,  2.85it/s, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.381 | loglstar:   -inf < -10964.055 <    inf | logz: -10970.977 +/-  0.118 | dlogz: 11002.068 >  0.010]
8it [00:02,  2.85it/s, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.575 | loglstar:   -inf < -10938.779 <    inf | logz: -10945.703 +/-  0.118 | dlogz: 10989.097 >  0.010]
9it [00:03,  2.85it/s, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.768 | loglstar:   -inf < -10422.231 <    inf | logz: -10429.156 +/-  0.118 | dlogz: 10963.821 >  0.010]
10it [00:03,  2.85it/s, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.961 | loglstar:   -inf < -10340.052 <    inf | logz: -10346.980 +/-  0.118 | dlogz: 10447.273 >  0.010]
11it [00:03,  2.85it/s, bound: 0 | nc: 1 | ncall: 511 | eff(%):  2.153 | loglstar:   -inf < -9430.428 <    inf | logz: -9437.358 +/-  0.118 | dlogz: 10365.094 >  0.010]  
12it [00:04,  2.86it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.344 | loglstar:   -inf < -8580.436 <    inf | logz: -8587.367 +/-  0.118 | dlogz: 9455.470 >  0.010] 
13it [00:04,  2.86it/s, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.534 | loglstar:   -inf < -8307.072 <    inf | logz: -8314.006 +/-  0.118 | dlogz: 8605.478 >  0.010]
14it [00:04,  2.85it/s, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.724 | loglstar:   -inf < -8117.051 <    inf | logz: -8123.986 +/-  0.118 | dlogz: 8332.114 >  0.010]
15it [00:05,  2.86it/s, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.913 | loglstar:   -inf < -8062.963 <    inf | logz: -8069.900 +/-  0.118 | dlogz: 8142.093 >  0.010]
16it [00:05,  2.86it/s, bound: 0 | nc: 1 | ncall: 516 | eff(%):  3.101 | loglstar:   -inf < -8026.558 <    inf | logz: -8033.498 +/-  0.118 | dlogz: 8088.005 >  0.010]
17it [00:05,  2.86it/s, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.288 | loglstar:   -inf < -7900.048 <    inf | logz: -7906.990 +/-  0.118 | dlogz: 8051.600 >  0.010]
18it [00:06,  2.86it/s, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -7499.250 <    inf | logz: -7506.194 +/-  0.118 | dlogz: 7925.090 >  0.010]
19it [00:06,  2.86it/s, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -7425.058 <    inf | logz: -7432.003 +/-  0.118 | dlogz: 7524.292 >  0.010]
20it [00:07,  2.85it/s, bound: 0 | nc: 1 | ncall: 520 | eff(%):  3.846 | loglstar:   -inf < -6951.734 <    inf | logz: -6958.681 +/-  0.118 | dlogz: 7450.100 >  0.010]
21it [00:07,  2.19it/s, bound: 0 | nc: 2 | ncall: 522 | eff(%):  4.023 | loglstar:   -inf < -6916.327 <    inf | logz: -6923.277 +/-  0.118 | dlogz: 6976.776 >  0.010]
22it [00:08,  2.36it/s, bound: 0 | nc: 1 | ncall: 523 | eff(%):  4.207 | loglstar:   -inf < -6907.389 <    inf | logz: -6914.341 +/-  0.118 | dlogz: 6941.369 >  0.010]
23it [00:08,  2.48it/s, bound: 0 | nc: 1 | ncall: 524 | eff(%):  4.389 | loglstar:   -inf < -6794.021 <    inf | logz: -6800.974 +/-  0.118 | dlogz: 6932.431 >  0.010]
24it [00:08,  2.58it/s, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.571 | loglstar:   -inf < -6733.760 <    inf | logz: -6740.716 +/-  0.118 | dlogz: 6819.063 >  0.010]
25it [00:09,  2.65it/s, bound: 0 | nc: 1 | ncall: 526 | eff(%):  4.753 | loglstar:   -inf < -6571.287 <    inf | logz: -6578.245 +/-  0.118 | dlogz: 6758.802 >  0.010]
26it [00:09,  2.70it/s, bound: 0 | nc: 1 | ncall: 527 | eff(%):  4.934 | loglstar:   -inf < -6407.352 <    inf | logz: -6414.311 +/-  0.118 | dlogz: 6596.329 >  0.010]
27it [00:09,  2.74it/s, bound: 0 | nc: 1 | ncall: 528 | eff(%):  5.114 | loglstar:   -inf < -6352.036 <    inf | logz: -6358.998 +/-  0.118 | dlogz: 6432.394 >  0.010]
28it [00:10,  2.77it/s, bound: 0 | nc: 1 | ncall: 529 | eff(%):  5.293 | loglstar:   -inf < -6342.152 <    inf | logz: -6349.115 +/-  0.118 | dlogz: 6377.078 >  0.010]
29it [00:10,  2.80it/s, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.472 | loglstar:   -inf < -5876.520 <    inf | logz: -5883.485 +/-  0.118 | dlogz: 6367.194 >  0.010]
30it [00:10,  2.81it/s, bound: 0 | nc: 1 | ncall: 531 | eff(%):  5.650 | loglstar:   -inf < -5859.262 <    inf | logz: -5866.230 +/-  0.118 | dlogz: 5901.562 >  0.010]
31it [00:11,  2.82it/s, bound: 0 | nc: 1 | ncall: 532 | eff(%):  5.827 | loglstar:   -inf < -5687.326 <    inf | logz: -5694.295 +/-  0.118 | dlogz: 5884.305 >  0.010]
32it [00:11,  2.83it/s, bound: 0 | nc: 1 | ncall: 533 | eff(%):  6.004 | loglstar:   -inf < -5600.442 <    inf | logz: -5607.414 +/-  0.118 | dlogz: 5712.368 >  0.010]
33it [00:11,  2.83it/s, bound: 0 | nc: 1 | ncall: 534 | eff(%):  6.180 | loglstar:   -inf < -5598.859 <    inf | logz: -5605.488 +/-  0.111 | dlogz: 5625.484 >  0.010]
